"","pitcher","p_throws","totalStrPct","totalBallPct","totalBIPPct"
"1",453286,"R",0.506896551724138,0.351724137931034,0.141379310344828
"2",543037,"R",0.519519519519519,0.348348348348348,0.132132132132132
"3",669214,"L",0.7,0.1,0.2
"4",434378,"R",0.5,0.359375,0.140625
"5",455119,"R",0.6875,0.25,0.0625
"6",521230,"R",0.524590163934426,0.409836065573771,0.0655737704918032
"7",542881,"L",0.432291666666667,0.369791666666667,0.197916666666667
"8",543243,"R",0.511111111111111,0.377777777777778,0.111111111111111
"9",547943,"L",0.486486486486487,0.351351351351351,0.162162162162162
"10",548389,"R",0.4625,0.329166666666667,0.208333333333333
"11",571510,"L",0.484184914841849,0.372262773722628,0.143552311435523
"12",571760,"L",0.522796352583587,0.319148936170213,0.158054711246201
"13",592169,"R",0.482758620689655,0.448275862068966,0.0689655172413792
"14",592332,"R",0.494736842105263,0.4,0.105263157894737
"15",593144,"R",0.523809523809524,0.285714285714286,0.19047619047619
"16",605397,"R",0.548913043478261,0.347826086956522,0.103260869565217
"17",605400,"R",0.510948905109489,0.354014598540146,0.135036496350365
"18",605540,"R",0.5,0.339622641509434,0.160377358490566
"19",608337,"R",0.529780564263323,0.351097178683386,0.119122257053291
"20",621244,"R",0.479041916167665,0.37125748502994,0.149700598802395
"21",641941,"R",0.533333333333333,0.366666666666667,0.1
"22",645261,"R",0.464285714285714,0.345238095238095,0.19047619047619
"23",656420,"R",0.5,0.35,0.15
"24",665093,"R",0.408450704225352,0.47887323943662,0.112676056338028
"25",444468,"R",0.456140350877193,0.421052631578947,0.12280701754386
"26",467100,"R",0.359223300970874,0.427184466019417,0.213592233009709
"27",501593,"L",0.529411764705882,0.294117647058824,0.176470588235294
"28",518553,"R",0.59375,0.34375,0.0625
"29",547179,"R",0.571428571428571,0.285714285714286,0.142857142857143
"30",571927,"L",0.51981351981352,0.34032634032634,0.13986013986014
"31",592662,"L",0.44574780058651,0.425219941348974,0.129032258064516
"32",592761,"L",0.450704225352113,0.450704225352113,0.0985915492957746
"33",592773,"R",0.41025641025641,0.461538461538462,0.128205128205128
"34",592836,"R",0.416666666666667,0.406862745098039,0.176470588235294
"35",592866,"R",0.45067264573991,0.37219730941704,0.177130044843049
"36",596112,"R",0.60377358490566,0.30188679245283,0.0943396226415094
"37",605182,"R",0.464730290456432,0.365145228215768,0.170124481327801
"38",605501,"L",0.413793103448276,0.413793103448276,0.172413793103448
"39",607200,"R",0.391666666666667,0.416666666666667,0.191666666666667
"40",608718,"L",0.458333333333333,0.375,0.166666666666667
"41",621121,"R",0.508196721311475,0.348360655737705,0.14344262295082
"42",621242,"R",0.476190476190476,0.333333333333333,0.19047619047619
"43",621249,"R",0.489795918367347,0.408163265306122,0.102040816326531
"44",621294,"R",0.411764705882353,0.411764705882353,0.176470588235294
"45",622072,"L",0.483870967741935,0.387096774193548,0.129032258064516
"46",623364,"L",0.6,0.4,0
"47",628452,"R",0.655172413793103,0.275862068965517,0.0689655172413793
"48",640455,"L",0.452755905511811,0.354330708661417,0.192913385826772
"49",641482,"L",0.421875,0.421875,0.15625
"50",641627,"R",0.292682926829268,0.536585365853659,0.170731707317073
"51",641793,"R",0.454545454545455,0.363636363636364,0.181818181818182
"52",650633,"R",0.486486486486487,0.333333333333333,0.18018018018018
"53",656970,"L",0.461538461538462,0.41025641025641,0.128205128205128
"54",664126,"R",0.545454545454545,0.363636363636364,0.0909090909090909
"55",681911,"L",0.476190476190476,0.428571428571429,0.0952380952380953
"56",453281,"L",0.386206896551724,0.36551724137931,0.248275862068966
"57",461829,"L",0.424242424242424,0.393939393939394,0.181818181818182
"58",501789,"R",0.32,0.52,0.16
"59",516969,"R",0.476190476190476,0.380952380952381,0.142857142857143
"60",518748,"R",0.423728813559322,0.474576271186441,0.101694915254237
"61",543901,"R",0.371584699453552,0.398907103825137,0.229508196721312
"62",545333,"R",0.496031746031746,0.373015873015873,0.130952380952381
"63",571666,"R",0.405529953917051,0.3963133640553,0.19815668202765
"64",580792,"R",0.571428571428571,0.285714285714286,0.142857142857143
"65",592826,"R",0.476190476190476,0.388888888888889,0.134920634920635
"66",592833,"R",0.428571428571429,0.285714285714286,0.285714285714286
"67",596035,"R",0.333333333333333,0.333333333333333,0.333333333333333
"68",598287,"R",0.294117647058824,0.411764705882353,0.294117647058824
"69",601713,"R",0.46583850931677,0.372670807453416,0.161490683229814
"70",607536,"L",0.436031331592689,0.360313315926893,0.203655352480418
"71",621261,"R",0.485714285714286,0.314285714285714,0.2
"72",623149,"R",0.4,0.44,0.16
"73",625643,"R",0.466981132075472,0.382075471698113,0.150943396226415
"74",628317,"R",0.514056224899598,0.349397590361446,0.136546184738956
"75",641712,"R",0.4,0.4,0.2
"76",641743,"L",0.4,0.454545454545455,0.145454545454546
"77",641838,"R",0.5,0,0.5
"78",642528,"R",0.558823529411765,0.294117647058824,0.147058823529412
"79",643478,"L",0.3,0.4,0.3
"80",663992,"L",0,0,1
"81",667498,"R",0.393939393939394,0.393939393939394,0.212121212121212
"82",668678,"R",0.457875457875458,0.362637362637363,0.17948717948718
"83",434671,"R",0.442660550458716,0.385321100917431,0.172018348623853
"84",543557,"L",0.4,0.3,0.3
"85",592314,"R",0.466666666666667,0.5,0.0333333333333333
