"","pitcher","p_throws.x","totalStrPct_before","totalBallPct_before","totalBIPPct_before","totalStrPct_after","totalBallPct_after","totalBIPPct_after","difference_totalBIP","difference_totalStr","difference_totalBall"
"1",282332,"L",0.47678369195923,0.361268403171008,0.161947904869762,0.449897750511247,0.357873210633947,0.192229038854806,0.0302811339850436,-0.0268859414479825,-0.00339519253706111
"2",407845,"R",0.461229946524064,0.394385026737968,0.144385026737968,0.40625,0.5,0.09375,-0.0506350267379678,-0.0549799465240642,0.105614973262032
"3",424144,"L",0.52621359223301,0.306796116504854,0.166990291262136,1,0,0,-0.166990291262136,0.47378640776699,-0.306796116504854
"4",425772,"R",0.458333333333333,0.333333333333333,0.208333333333333,0,0,1,0.791666666666667,-0.458333333333333,-0.333333333333333
"5",425794,"R",0.437671609006041,0.397583745194948,0.164744645799012,0.471074380165289,0.338842975206612,0.190082644628099,0.0253379988290876,0.0334027711592486,-0.0587407699883363
"6",425844,"R",0.458333333333333,0.359148550724638,0.182518115942029,0.489795918367347,0.343228200371058,0.166975881261596,-0.0155422346804335,0.0314625850340136,-0.0159203503535802
"7",429719,"R",0.429824561403509,0.405263157894737,0.164912280701754,0.415194346289753,0.399293286219081,0.185512367491166,0.0206000867894116,-0.0146302151137561,-0.00596987167565555
"8",429722,"R",0.396825396825397,0.365079365079365,0.238095238095238,0.416666666666667,0.395833333333333,0.1875,-0.0505952380952381,0.0198412698412699,0.0307539682539683
"9",430935,"L",0.476287262872629,0.368563685636856,0.155149051490515,0.456422018348624,0.357798165137615,0.185779816513761,0.0306307650232465,-0.0198652445240049,-0.0107655204992417
"10",433587,"R",0.439613526570048,0.355072463768116,0.205314009661836,0.455981941309255,0.388261851015801,0.155756207674944,-0.0495578019868922,0.0163684147392067,0.0331893872476854
"11",433589,"R",0.463553530751708,0.343963553530752,0.19248291571754,0.482352941176471,0.376470588235294,0.141176470588235,-0.0513064451293046,0.0187994104247622,0.0325070347045424
"12",434378,"R",0.537506466632178,0.333678220382825,0.128815312984997,0.558088235294118,0.297058823529412,0.144852941176471,0.0160376281914731,0.0205817686619397,-0.0366193968534129
"13",434538,"L",0.449481865284974,0.378238341968912,0.172279792746114,0.481012658227848,0.354430379746835,0.164556962025316,-0.00772283072079749,0.031530792942874,-0.0238079622220765
"14",434671,"R",0.447916666666667,0.370614035087719,0.181469298245614,0.464583333333333,0.322916666666667,0.2125,0.0310307017543858,0.0166666666666667,-0.0476973684210526
"15",435043,"L",0.380952380952381,0.45578231292517,0.163265306122449,0.476190476190476,0.285714285714286,0.238095238095238,0.0748299319727892,0.0952380952380952,-0.170068027210884
"16",444468,"R",0.453061224489796,0.364625850340136,0.182312925170068,0.451612903225806,0.338709677419355,0.209677419354839,0.0273644941847707,-0.00144832126398947,-0.0259161729207812
"17",445197,"L",0.428571428571429,0.400921658986175,0.170506912442396,0.4375,0.375,0.1875,0.0169930875576036,0.00892857142857145,-0.0259216589861751
"18",445213,"R",0.442675159235669,0.371019108280255,0.186305732484076,0.545454545454545,0.272727272727273,0.181818181818182,-0.00448755066589457,0.102779386218877,-0.098291835552982
"19",445276,"R",0.540322580645161,0.311827956989247,0.147849462365591,0.575342465753425,0.287671232876712,0.136986301369863,-0.0108631609957284,0.0350198851082634,-0.024156724112535
"20",445926,"R",0.458379578246393,0.368479467258602,0.173140954495006,0.41991341991342,0.393939393939394,0.186147186147186,0.0130062316521806,-0.038466158332973,0.0254599266807924
"21",446321,"L",0.422268907563025,0.380252100840336,0.197478991596639,0.445134575569358,0.36231884057971,0.192546583850932,-0.00493240774570691,0.022865668006333,-0.017933260260626
"22",446372,"R",0.459276018099547,0.352941176470588,0.187782805429864,0.463768115942029,0.434782608695652,0.101449275362319,-0.0863335300675454,0.0044920978424815,0.0818414322250639
"23",448179,"L",0.554913294797688,0.327552986512524,0.117533718689788,0.511111111111111,0.323809523809524,0.165079365079365,0.047545646389577,-0.0438021836865767,-0.00374346270300024
"24",448281,"L",0.542948038176034,0.296924708377519,0.160127253446448,0.505376344086022,0.301075268817204,0.193548387096774,0.0334211336503267,-0.0375716940900125,0.00415056043968576
"25",448609,"L",0.43984962406015,0.402255639097744,0.157894736842105,0.5,0.25,0.25,0.0921052631578947,0.0601503759398496,-0.152255639097744
"26",448614,"R",0.384615384615385,0.538461538461538,0.0769230769230769,0.652173913043478,0.260869565217391,0.0869565217391304,0.0100334448160535,0.267558528428094,-0.277591973244147
"27",448801,"R",0.555555555555556,0.333333333333333,0.111111111111111,0.583333333333333,0.25,0.166666666666667,0.0555555555555555,0.0277777777777778,-0.0833333333333333
"28",448855,"R",0.440414507772021,0.404145077720207,0.155440414507772,0.508771929824561,0.324561403508772,0.166666666666667,0.0112262521588946,0.0683574220525407,-0.0795836742114353
"29",450172,"R",0.437837837837838,0.378378378378378,0.183783783783784,0.428571428571429,0.452380952380952,0.119047619047619,-0.0647361647361646,-0.00926640926640931,0.074002574002574
"30",450203,"R",0.488667271078876,0.35403445149592,0.157298277425204,0.549707602339181,0.321637426900585,0.128654970760234,-0.0286433066649699,0.0610403312603054,-0.0323970245953354
"31",450212,"R",0.443877551020408,0.311224489795918,0.244897959183674,0.606060606060606,0.303030303030303,0.0909090909090908,-0.153988868274583,0.162183055040198,-0.00819418676561534
"32",450306,"L",0.431446540880503,0.39748427672956,0.171069182389937,0.420673076923077,0.399038461538462,0.180288461538461,0.00921927914852438,-0.0107734639574262,0.00155418480890179
"33",451584,"R",0.435483870967742,0.420967741935484,0.143548387096774,0.521739130434783,0.326086956521739,0.152173913043478,0.00862552594670407,0.0862552594670407,-0.0948807854137447
